.0271 sec.
iter 86990||epoch:93 || Loss: 0.2556 || timer: 0.0287 sec.
iter 87000||epoch:93 || Loss: 0.2397 || timer: 0.0271 sec.
iter 87010||epoch:93 || Loss: 0.2491 || timer: 0.0272 sec.
iter 87020||epoch:93 || Loss: 0.2346 || timer: 0.0274 sec.
iter 87030||epoch:93 || Loss: 0.2399 || timer: 0.0288 sec.
iter 87040||epoch:93 || Loss: 0.2370 || timer: 0.0291 sec.
iter 87050||epoch:94 || Loss: 0.2303 || timer: 0.0282 sec.
iter 87060||epoch:94 || Loss: 0.2233 || timer: 0.0288 sec.
iter 87070||epoch:94 || Loss: 0.2460 || timer: 0.0270 sec.
iter 87080||epoch:94 || Loss: 0.2466 || timer: 0.0279 sec.
iter 87090||epoch:94 || Loss: 0.2430 || timer: 0.0279 sec.
iter 87100||epoch:94 || Loss: 0.2512 || timer: 0.0281 sec.
iter 87110||epoch:94 || Loss: 0.2282 || timer: 0.0282 sec.
iter 87120||epoch:94 || Loss: 0.2432 || timer: 0.0291 sec.
iter 87130||epoch:94 || Loss: 0.2468 || timer: 0.0277 sec.
iter 87140||epoch:94 || Loss: 0.2496 || timer: 0.0283 sec.
iter 87150||epoch:94 || Loss: 0.2390 || timer: 0.0270 sec.
iter 87160||epoch:94 || Loss: 0.2670 || timer: 0.0274 sec.
iter 87170||epoch:94 || Loss: 0.2504 || timer: 0.0276 sec.
iter 87180||epoch:94 || Loss: 0.2199 || timer: 0.0283 sec.
iter 87190||epoch:94 || Loss: 0.2421 || timer: 0.0281 sec.
iter 87200||epoch:94 || Loss: 0.2372 || timer: 0.0287 sec.
iter 87210||epoch:94 || Loss: 0.2454 || timer: 0.0295 sec.
iter 87220||epoch:94 || Loss: 0.2470 || timer: 0.0271 sec.
iter 87230||epoch:94 || Loss: 0.2121 || timer: 0.0276 sec.
iter 87240||epoch:94 || Loss: 0.2373 || timer: 0.0286 sec.
iter 87250||epoch:94 || Loss: 0.2493 || timer: 0.0274 sec.
iter 87260||epoch:94 || Loss: 0.2248 || timer: 0.0271 sec.
iter 87270||epoch:94 || Loss: 0.2426 || timer: 0.0273 sec.
iter 87280||epoch:94 || Loss: 0.2413 || timer: 0.0288 sec.
iter 87290||epoch:94 || Loss: 0.2200 || timer: 0.0279 sec.
iter 87300||epoch:94 || Loss: 0.2429 || timer: 0.0274 sec.
iter 87310||epoch:94 || Loss: 0.2628 || timer: 0.0271 sec.
iter 87320||epoch:94 || Loss: 0.2318 || timer: 0.0281 sec.
iter 87330||epoch:94 || Loss: 0.2630 || timer: 0.0274 sec.
iter 87340||epoch:94 || Loss: 0.2709 || timer: 0.0270 sec.
iter 87350||epoch:94 || Loss: 0.2715 || timer: 0.0274 sec.
iter 87360||epoch:94 || Loss: 0.2431 || timer: 0.0285 sec.
iter 87370||epoch:94 || Loss: 0.2578 || timer: 0.0274 sec.
iter 87380||epoch:94 || Loss: 0.2393 || timer: 0.0281 sec.
iter 87390||epoch:94 || Loss: 0.2486 || timer: 0.0287 sec.
iter 87400||epoch:94 || Loss: 0.2676 || timer: 0.0271 sec.
iter 87410||epoch:94 || Loss: 0.2389 || timer: 0.0273 sec.
iter 87420||epoch:94 || Loss: 0.2412 || timer: 0.0280 sec.
iter 87430||epoch:94 || Loss: 0.2452 || timer: 0.0280 sec.
iter 87440||epoch:94 || Loss: 0.2352 || timer: 0.0285 sec.
iter 87450||epoch:94 || Loss: 0.2447 || timer: 0.0283 sec.
iter 87460||epoch:94 || Loss: 0.2238 || timer: 0.0282 sec.
iter 87470||epoch:94 || Loss: 0.2484 || timer: 0.0271 sec.
iter 87480||epoch:94 || Loss: 0.2619 || timer: 0.0280 sec.
iter 87490||epoch:94 || Loss: 0.2552 || timer: 0.0285 sec.
iter 87500||epoch:94 || Loss: 0.2319 || timer: 0.0274 sec.
iter 87510||epoch:94 || Loss: 0.2373 || timer: 0.0270 sec.
iter 87520||epoch:94 || Loss: 0.2356 || timer: 0.0279 sec.
iter 87530||epoch:94 || Loss: 0.2452 || timer: 0.0273 sec.
iter 87540||epoch:94 || Loss: 0.2340 || timer: 0.0274 sec.
iter 87550||epoch:94 || Loss: 0.2366 || timer: 0.0278 sec.
iter 87560||epoch:94 || Loss: 0.2241 || timer: 0.0282 sec.
iter 87570||epoch:94 || Loss: 0.2356 || timer: 0.0272 sec.
iter 87580||epoch:94 || Loss: 0.2499 || timer: 0.0276 sec.
iter 87590||epoch:94 || Loss: 0.2254 || timer: 0.0276 sec.
iter 87600||epoch:94 || Loss: 0.2361 || timer: 0.0282 sec.
iter 87610||epoch:94 || Loss: 0.2386 || timer: 0.0297 sec.
iter 87620||epoch:94 || Loss: 0.2175 || timer: 0.0282 sec.
iter 87630||epoch:94 || Loss: 0.2481 || timer: 0.0276 sec.
iter 87640||epoch:94 || Loss: 0.2427 || timer: 0.0271 sec.
iter 87650||epoch:94 || Loss: 0.2725 || timer: 0.0276 sec.
iter 87660||epoch:94 || Loss: 0.2400 || timer: 0.0279 sec.
iter 87670||epoch:94 || Loss: 0.2480 || timer: 0.0280 sec.
iter 87680||epoch:94 || Loss: 0.2636 || timer: 0.0269 sec.
iter 87690||epoch:94 || Loss: 0.2201 || timer: 0.0298 sec.
iter 87700||epoch:94 || Loss: 0.2382 || timer: 0.0271 sec.
iter 87710||epoch:94 || Loss: 0.2528 || timer: 0.0273 sec.
iter 87720||epoch:94 || Loss: 0.2490 || timer: 0.0284 sec.
iter 87730||epoch:94 || Loss: 0.2271 || timer: 0.0276 sec.
iter 87740||epoch:94 || Loss: 0.2416 || timer: 0.0273 sec.
iter 87750||epoch:94 || Loss: 0.2407 || timer: 0.0273 sec.
iter 87760||epoch:94 || Loss: 0.2574 || timer: 0.0277 sec.
iter 87770||epoch:94 || Loss: 0.2547 || timer: 0.0292 sec.
iter 87780||epoch:94 || Loss: 0.2280 || timer: 0.0273 sec.
iter 87790||epoch:94 || Loss: 0.2467 || timer: 0.0287 sec.
iter 87800||epoch:94 || Loss: 0.2389 || timer: 0.0283 sec.
iter 87810||epoch:94 || Loss: 0.2534 || timer: 0.0271 sec.
iter 87820||epoch:94 || Loss: 0.2416 || timer: 0.0273 sec.
iter 87830||epoch:94 || Loss: 0.2513 || timer: 0.0280 sec.
iter 87840||epoch:94 || Loss: 0.2395 || timer: 0.0285 sec.
iter 87850||epoch:94 || Loss: 0.2249 || timer: 0.0296 sec.
iter 87860||epoch:94 || Loss: 0.2306 || timer: 0.0277 sec.
iter 87870||epoch:94 || Loss: 0.2343 || timer: 0.0281 sec.
iter 87880||epoch:94 || Loss: 0.2604 || timer: 0.0274 sec.
iter 87890||epoch:94 || Loss: 0.2307 || timer: 0.0271 sec.
iter 87900||epoch:94 || Loss: 0.2513 || timer: 0.0279 sec.
iter 87910||epoch:94 || Loss: 0.2341 || timer: 0.0292 sec.
iter 87920||epoch:94 || Loss: 0.2514 || timer: 0.0279 sec.
iter 87930||epoch:94 || Loss: 0.2589 || timer: 0.0286 sec.
iter 87940||epoch:94 || Loss: 0.2465 || timer: 0.0272 sec.
iter 87950||epoch:94 || Loss: 0.2340 || timer: 0.0294 sec.
iter 87960||epoch:94 || Loss: 0.2459 || timer: 0.0295 sec.
iter 87970||epoch:95 || Loss: 0.2521 || timer: 0.0277 sec.
iter 87980||epoch:95 || Loss: 0.2457 || timer: 0.0283 sec.
iter 87990||epoch:95 || Loss: 0.2484 || timer: 0.0274 sec.
iter 88000||epoch:95 || Loss: 0.2491 || timer: 0.0269 sec.
iter 88010||epoch:95 || Loss: 0.2350 || timer: 0.0281 sec.
iter 88020||epoch:95 || Loss: 0.2253 || timer: 0.0278 sec.
iter 88030||epoch:95 || Loss: 0.2299 || timer: 0.0272 sec.
iter 88040||epoch:95 || Loss: 0.2465 || timer: 0.0273 sec.
iter 88050||epoch:95 || Loss: 0.2311 || timer: 0.0270 sec.
iter 88060||epoch:95 || Loss: 0.2325 || timer: 0.0273 sec.
iter 88070||epoch:95 || Loss: 0.2378 || timer: 0.0271 sec.
iter 88080||epoch:95 || Loss: 0.2532 || timer: 0.0280 sec.
